run_id,label,n,ods,gap_var,first_half_ods
baseline_000,BASELINE,20,0.094737,2.232687,0.133333
baseline_001,BASELINE,20,0.094737,1.828255,0.200000
baseline_002,BASELINE,20,0.042105,0.554017,0.066667
baseline_003,BASELINE,20,0.021053,0.337950,0.088889
baseline_004,BASELINE,20,0.094737,1.479224,0.200000
baseline_005,BASELINE,20,0.100000,1.512465,0.222222
baseline_006,BASELINE,20,0.052632,1.313019,0.133333
baseline_007,BASELINE,20,0.110526,2.531856,0.200000
baseline_008,BASELINE,20,0.115789,2.692521,0.244444
baseline_009,BASELINE,20,0.052632,0.930748,0.133333
baseline_010,BASELINE,20,0.063158,1.157895,0.111111
baseline_011,BASELINE,20,0.115789,2.559557,0.200000
baseline_012,BASELINE,20,0.121053,1.717452,0.222222
baseline_013,BASELINE,20,0.115789,2.936288,0.244444
baseline_014,BASELINE,20,0.105263,1.717452,0.222222
baseline_015,BASELINE,20,0.115789,2.409972,0.200000
baseline_016,BASELINE,20,0.089474,1.301939,0.200000
baseline_017,BASELINE,20,0.026316,1.091413,0.000000
baseline_018,BASELINE,20,0.047368,0.587258,0.066667
baseline_019,BASELINE,20,0.121053,2.022161,0.244444
baseline_020,BASELINE,20,0.105263,2.144044,0.244444
baseline_021,BASELINE,20,0.042105,0.692521,0.044444
baseline_022,BASELINE,20,0.136842,5.157895,0.333333
baseline_023,BASELINE,20,0.052632,0.786704,0.088889
baseline_024,BASELINE,20,0.047368,0.797784,0.022222
baseline_025,BASELINE,20,0.115789,2.736842,0.288889
baseline_026,BASELINE,20,0.015789,0.321330,0.044444
baseline_027,BASELINE,20,0.021053,0.349030,0.044444
baseline_028,BASELINE,20,0.121053,2.670360,0.222222
baseline_029,BASELINE,20,0.052632,0.515235,0.133333
baseline_030,BASELINE,20,0.036842,0.337950,0.111111
baseline_031,BASELINE,20,0.078947,1.163435,0.177778
baseline_032,BASELINE,20,0.052632,0.831025,0.044444
baseline_033,BASELINE,20,0.115789,1.479224,0.244444
baseline_034,BASELINE,20,0.036842,0.349030,0.088889
baseline_035,BASELINE,20,0.036842,0.864266,0.088889
baseline_036,BASELINE,20,0.110526,1.390582,0.222222
baseline_037,BASELINE,20,0.047368,0.659280,0.111111
baseline_038,BASELINE,20,0.036842,0.443213,0.111111
baseline_039,BASELINE,20,0.047368,0.825485,0.133333
baseline_040,BASELINE,20,0.094737,2.864266,0.177778
baseline_041,BASELINE,20,0.036842,0.664820,0.044444
baseline_042,BASELINE,20,0.110526,1.639889,0.177778
baseline_043,BASELINE,20,0.026316,0.321330,0.022222
baseline_044,BASELINE,20,0.094737,1.617729,0.177778
baseline_045,BASELINE,20,0.084211,1.296399,0.155556
baseline_046,BASELINE,20,0.131579,3.373961,0.288889
baseline_047,BASELINE,20,0.073684,1.246537,0.200000
baseline_048,BASELINE,20,0.047368,1.252078,0.088889
baseline_049,BASELINE,20,0.047368,0.891967,0.066667
attack_000,ATTACK,20,0.031579,0.670360,0.133333
attack_001,ATTACK,20,0.100000,2.548476,0.266667
attack_002,ATTACK,20,0.042105,0.969529,0.155556
attack_003,ATTACK,20,0.057895,0.869806,0.088889
attack_004,ATTACK,20,0.068421,1.146814,0.133333
attack_005,ATTACK,20,0.052632,1.357341,0.155556
attack_006,ATTACK,20,0.052632,1.207756,0.177778
attack_007,ATTACK,20,0.042105,0.770083,0.066667
attack_008,ATTACK,20,0.031579,0.565097,0.111111
attack_009,ATTACK,20,0.036842,0.770083,0.133333
attack_010,ATTACK,20,0.100000,1.534626,0.222222
attack_011,ATTACK,20,0.084211,1.495845,0.155556
attack_012,ATTACK,20,0.031579,0.454294,0.088889
attack_013,ATTACK,20,0.036842,0.670360,0.111111
attack_014,ATTACK,20,0.052632,1.795014,0.222222
attack_015,ATTACK,20,0.068421,1.418283,0.177778
attack_016,ATTACK,20,0.047368,1.141274,0.200000
attack_017,ATTACK,20,0.100000,1.479224,0.177778
attack_018,ATTACK,20,0.047368,1.113573,0.133333
attack_019,ATTACK,20,0.100000,1.689751,0.177778
attack_020,ATTACK,20,0.084211,1.817175,0.111111
attack_021,ATTACK,20,0.036842,0.531856,0.044444
