run_id,label,n,ods,gap_var,first_half_ods
cpu_base_000,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_001,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_002,CPU_BASE,20,0.005263,0.094183,0.000000
cpu_base_003,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_004,CPU_BASE,20,0.010526,0.132964,0.000000
cpu_base_005,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_006,CPU_BASE,20,0.015789,0.193906,0.044444
cpu_base_007,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_008,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_009,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_010,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_011,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_012,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_013,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_014,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_015,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_016,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_017,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_018,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_019,CPU_BASE,20,0.015789,0.426593,0.066667
cpu_base_020,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_021,CPU_BASE,20,0.021053,0.454294,0.066667
cpu_base_022,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_023,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_024,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_025,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_026,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_027,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_028,CPU_BASE,20,0.010526,0.132964,0.044444
cpu_base_029,CPU_BASE,20,0.021053,0.454294,0.022222
cpu_base_030,CPU_BASE,20,0.010526,0.271468,0.044444
cpu_base_031,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_032,CPU_BASE,20,0.026316,0.459834,0.066667
cpu_base_033,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_034,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_035,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_036,CPU_BASE,20,0.005263,0.094183,0.000000
cpu_base_037,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_038,CPU_BASE,20,0.015789,0.193906,0.022222
cpu_base_039,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_040,CPU_BASE,20,0.021053,0.232687,0.022222
cpu_base_041,CPU_BASE,20,0.010526,0.271468,0.022222
cpu_base_042,CPU_BASE,20,0.010526,0.166205,0.044444
cpu_base_043,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_044,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_045,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_046,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_047,CPU_BASE,20,0.005263,0.094183,0.000000
cpu_base_048,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_049,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_050,CPU_BASE,20,0.010526,0.132964,0.044444
cpu_base_051,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_052,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_053,CPU_BASE,20,0.010526,0.166205,0.022222
cpu_base_054,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_055,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_056,CPU_BASE,20,0.015789,0.404432,0.066667
cpu_base_057,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_058,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_059,CPU_BASE,20,0.010526,0.271468,0.000000
cpu_base_060,CPU_BASE,20,0.010526,0.132964,0.044444
cpu_base_061,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_062,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_063,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_064,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_065,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_066,CPU_BASE,20,0.005263,0.049861,0.000000
cpu_base_067,CPU_BASE,20,0.015789,0.299169,0.022222
cpu_base_068,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_069,CPU_BASE,20,0.010526,0.132964,0.044444
cpu_base_070,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_071,CPU_BASE,20,0.010526,0.238227,0.044444
cpu_base_072,CPU_BASE,20,0.010526,0.166205,0.022222
cpu_base_073,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_074,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_075,CPU_BASE,20,0.015789,0.321330,0.044444
cpu_base_076,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_077,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_078,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_079,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_080,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_081,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_082,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_083,CPU_BASE,20,0.010526,0.132964,0.022222
cpu_base_084,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_085,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_086,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_087,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_088,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_089,CPU_BASE,20,0.010526,0.166205,0.000000
cpu_base_090,CPU_BASE,20,0.010526,0.166205,0.044444
cpu_base_091,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_092,CPU_BASE,20,0.010526,0.271468,0.022222
cpu_base_093,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_094,CPU_BASE,20,0.010526,0.132964,0.044444
cpu_base_095,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_096,CPU_BASE,20,0.000000,0.000000,0.000000
cpu_base_097,CPU_BASE,20,0.005263,0.094183,0.022222
cpu_base_098,CPU_BASE,20,0.005263,0.049861,0.022222
cpu_base_099,CPU_BASE,20,0.010526,0.271468,0.044444
mem_base_000,MEM_BASE,20,0.010526,0.166205,0.044444
mem_base_001,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_002,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_003,MEM_BASE,20,0.005263,0.049861,0.022222
mem_base_004,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_005,MEM_BASE,20,0.005263,0.049861,0.022222
mem_base_006,MEM_BASE,20,0.005263,0.049861,0.022222
mem_base_007,MEM_BASE,20,0.015789,0.166205,0.044444
mem_base_008,MEM_BASE,20,0.005263,0.094183,0.000000
mem_base_009,MEM_BASE,20,0.015789,0.166205,0.022222
mem_base_010,MEM_BASE,20,0.010526,0.132964,0.044444
mem_base_011,MEM_BASE,20,0.010526,0.132964,0.044444
mem_base_012,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_013,MEM_BASE,20,0.015789,0.193906,0.044444
mem_base_014,MEM_BASE,20,0.005263,0.049861,0.022222
mem_base_015,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_016,MEM_BASE,20,0.005263,0.094183,0.022222
mem_base_017,MEM_BASE,20,0.010526,0.132964,0.022222
mem_base_018,MEM_BASE,20,0.010526,0.132964,0.044444
mem_base_019,MEM_BASE,20,0.005263,0.049861,0.022222
mem_base_020,MEM_BASE,20,0.015789,0.299169,0.022222
mem_base_021,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_022,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_023,MEM_BASE,20,0.010526,0.238227,0.000000
mem_base_024,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_025,MEM_BASE,20,0.000000,0.000000,0.000000
mem_base_026,MEM_BASE,20,0.005263,0.049861,0.022222
mem_base_027,MEM_BASE,20,0.010526,0.166205,0.044444
