run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
cpu_ovh_000,CPU_OVH,20,0.273684,6.299169,0.600000,12,42
cpu_ovh_001,CPU_OVH,20,0.247368,7.085873,0.577778,12,42
cpu_ovh_002,CPU_OVH,20,0.257895,5.357341,0.577778,12,42
cpu_ovh_003,CPU_OVH,20,0.263158,7.407202,0.622222,12,42
cpu_ovh_004,CPU_OVH,20,0.263158,6.864266,0.577778,12,42
cpu_ovh_005,CPU_OVH,20,0.263158,6.193906,0.577778,12,42
cpu_ovh_006,CPU_OVH,20,0.263158,6.243767,0.644444,12,42
cpu_ovh_007,CPU_OVH,20,0.273684,6.720222,0.622222,12,42
cpu_ovh_008,CPU_OVH,20,0.273684,6.864266,0.622222,12,42
cpu_ovh_009,CPU_OVH,20,0.278947,7.191136,0.622222,12,42
cpu_ovh_010,CPU_OVH,20,0.263158,6.426593,0.622222,12,42
cpu_ovh_011,CPU_OVH,20,0.252632,6.775623,0.577778,12,42
cpu_ovh_012,CPU_OVH,20,0.263158,5.501385,0.577778,12,42
cpu_ovh_013,CPU_OVH,20,0.273684,6.299169,0.600000,12,42
cpu_ovh_014,CPU_OVH,20,0.268421,6.720222,0.600000,12,42
cpu_ovh_015,CPU_OVH,20,0.263158,5.501385,0.577778,12,42
cpu_ovh_016,CPU_OVH,20,0.278947,6.299169,0.644444,12,42
cpu_ovh_017,CPU_OVH,20,0.268421,6.166205,0.600000,12,42
cpu_ovh_018,CPU_OVH,20,0.268421,6.404432,0.622222,12,42
cpu_ovh_019,CPU_OVH,20,0.268421,7.296399,0.600000,12,42
cpu_ovh_020,CPU_OVH,20,0.247368,6.653740,0.555556,12,42
cpu_ovh_021,CPU_OVH,20,0.257895,6.670360,0.577778,12,42
cpu_ovh_022,CPU_OVH,20,0.263158,6.321330,0.577778,12,42
cpu_ovh_023,CPU_OVH,20,0.263158,6.459834,0.644444,12,42
cpu_ovh_024,CPU_OVH,20,0.273684,6.404432,0.600000,12,42
cpu_ovh_025,CPU_OVH,20,0.268421,7.074792,0.600000,12,42
cpu_ovh_026,CPU_OVH,20,0.268421,5.667590,0.600000,12,42
cpu_ovh_027,CPU_OVH,20,0.263158,7.074792,0.600000,12,42
cpu_ovh_028,CPU_OVH,20,0.268421,5.396122,0.577778,12,42
cpu_ovh_029,CPU_OVH,20,0.257895,6.980609,0.622222,12,42
cpu_ovh_030,CPU_OVH,20,0.252632,6.670360,0.600000,12,42
cpu_ovh_031,CPU_OVH,20,0.273684,6.299169,0.600000,12,42
cpu_ovh_032,CPU_OVH,20,0.268421,6.880886,0.600000,12,42
cpu_ovh_033,CPU_OVH,20,0.268421,5.706371,0.600000,12,42
cpu_ovh_034,CPU_OVH,20,0.273684,6.376731,0.622222,12,42
cpu_ovh_035,CPU_OVH,20,0.268421,6.216066,0.622222,12,42
cpu_ovh_036,CPU_OVH,20,0.252632,6.232687,0.577778,12,42
cpu_ovh_037,CPU_OVH,20,0.252632,6.664820,0.600000,12,42
cpu_ovh_038,CPU_OVH,20,0.268421,6.614958,0.600000,12,42
cpu_ovh_039,CPU_OVH,20,0.273684,6.587258,0.622222,12,42
