timestamp,mode,W,reps,runs,n,jobs_total,attack_procs,attack_secs,seed,mean_real_s,std_real_s,overhead_vs_W0,throughput_jobs_per_s,throughput_runs_per_s,rep_real_s_list
20260201_235757,cpu,0,5,100,20,2000,16,5,42,518.666000,0.287802,1.000000,3.856046,0.192802,518.60;518.79;518.31;519.08;518.55
20260201_235757,cpu,4,5,100,20,2000,16,5,42,518.368000,0.218105,0.999425,3.858263,0.192913,518.48;518.40;518.64;518.07;518.25
20260201_235757,cpu,8,5,100,20,2000,16,5,42,518.716000,0.226119,1.000096,3.855674,0.192784,518.91;518.73;518.54;518.96;518.44
20260201_235757,cpu,12,5,100,20,2000,16,5,42,518.764000,0.112827,1.000189,3.855318,0.192766,518.75;518.88;518.81;518.80;518.58
20260201_235757,cpu,14,5,100,20,2000,16,5,42,518.584000,0.295516,0.999842,3.856656,0.192833,518.95;518.70;518.61;518.14;518.52
20260201_235757,cpu,16,5,100,20,2000,16,5,42,518.560000,0.235266,0.999796,3.856834,0.192842,518.84;518.29;518.77;518.42;518.48
20260201_235757,mem,0,5,100,20,2000,16,5,42,518.240000,0.217141,1.000000,3.859216,0.192961,517.98;518.36;518.24;518.09;518.53
20260201_235757,mem,4,5,100,20,2000,16,5,42,518.418000,0.451962,1.000343,3.857891,0.192895,518.31;517.95;518.99;518.06;518.78
20260201_235757,mem,8,5,100,20,2000,16,5,42,518.512000,0.223763,1.000525,3.857191,0.192860,518.74;518.15;518.48;518.56;518.63
20260201_235757,mem,12,5,100,20,2000,16,5,42,518.362000,0.202781,1.000235,3.858308,0.192915,518.64;518.46;518.27;518.34;518.10
20260201_235757,mem,14,5,100,20,2000,16,5,42,518.308000,0.227860,1.000131,3.858709,0.192935,518.35;518.27;518.37;517.96;518.59
20260201_235757,mem,16,5,100,20,2000,16,5,42,518.420000,0.233024,1.000347,3.857876,0.192894,518.67;518.67;518.31;518.27;518.18
