run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
cpu_att_000,CPU_ATT,20,0.089474,2.022161,0.177778,4,42
cpu_att_001,CPU_ATT,20,0.115789,4.005540,0.311111,4,42
cpu_att_002,CPU_ATT,20,0.094737,1.601108,0.177778,4,42
cpu_att_003,CPU_ATT,20,0.131579,4.725762,0.355556,4,42
cpu_att_004,CPU_ATT,20,0.105263,2.376731,0.177778,4,42
cpu_att_005,CPU_ATT,20,0.089474,2.005540,0.177778,4,42
cpu_att_006,CPU_ATT,20,0.089474,1.745152,0.177778,4,42
cpu_att_007,CPU_ATT,20,0.094737,1.501385,0.200000,4,42
cpu_att_008,CPU_ATT,20,0.126316,3.795014,0.311111,4,42
cpu_att_009,CPU_ATT,20,0.100000,2.531856,0.177778,4,42
cpu_att_010,CPU_ATT,20,0.089474,2.166205,0.200000,4,42
cpu_att_011,CPU_ATT,20,0.089474,1.983380,0.177778,4,42
cpu_att_012,CPU_ATT,20,0.089474,1.983380,0.177778,4,42
cpu_att_013,CPU_ATT,20,0.110526,3.562327,0.222222,4,42
cpu_att_014,CPU_ATT,20,0.121053,4.193906,0.311111,4,42
cpu_att_015,CPU_ATT,20,0.105263,1.922438,0.200000,4,42
cpu_att_016,CPU_ATT,20,0.121053,3.772853,0.244444,4,42
cpu_att_017,CPU_ATT,20,0.100000,2.404432,0.222222,4,42
cpu_att_018,CPU_ATT,20,0.100000,1.706371,0.200000,4,42
cpu_att_019,CPU_ATT,20,0.105263,2.060942,0.200000,4,42
cpu_att_020,CPU_ATT,20,0.115789,4.005540,0.311111,4,42
cpu_att_021,CPU_ATT,20,0.089474,2.376731,0.222222,4,42
cpu_att_022,CPU_ATT,20,0.121053,4.049861,0.288889,4,42
cpu_att_023,CPU_ATT,20,0.126316,5.263158,0.288889,4,42
cpu_att_024,CPU_ATT,20,0.094737,1.584488,0.155556,4,42
cpu_att_025,CPU_ATT,20,0.105263,2.742382,0.200000,4,42
cpu_att_026,CPU_ATT,20,0.084211,1.584488,0.155556,4,42
cpu_att_027,CPU_ATT,20,0.126316,4.238227,0.222222,4,42
cpu_att_028,CPU_ATT,20,0.121053,3.983380,0.333333,4,42
cpu_att_029,CPU_ATT,20,0.105263,2.742382,0.222222,4,42
cpu_att_030,CPU_ATT,20,0.126316,4.193906,0.333333,4,42
cpu_att_031,CPU_ATT,20,0.115789,3.074792,0.266667,4,42
cpu_att_032,CPU_ATT,20,0.089474,2.216066,0.177778,4,42
cpu_att_033,CPU_ATT,20,0.115789,4.831025,0.200000,4,42
cpu_att_034,CPU_ATT,20,0.121053,4.005540,0.333333,4,42
cpu_att_035,CPU_ATT,20,0.100000,1.457064,0.200000,4,42
cpu_att_036,CPU_ATT,20,0.105263,3.085873,0.222222,4,42
cpu_att_037,CPU_ATT,20,0.094737,2.321330,0.177778,4,42
cpu_att_038,CPU_ATT,20,0.100000,1.828255,0.177778,4,42
cpu_att_039,CPU_ATT,20,0.084211,1.983380,0.177778,4,42
cpu_att_040,CPU_ATT,20,0.089474,2.509695,0.177778,4,42
cpu_att_041,CPU_ATT,20,0.110526,2.038781,0.200000,4,42
cpu_att_042,CPU_ATT,20,0.105263,1.495845,0.200000,4,42
cpu_att_043,CPU_ATT,20,0.089474,1.268698,0.177778,4,42
cpu_att_044,CPU_ATT,20,0.094737,2.132964,0.177778,4,42
cpu_att_045,CPU_ATT,20,0.084211,1.290859,0.177778,4,42
cpu_att_046,CPU_ATT,20,0.089474,2.033241,0.155556,4,42
cpu_att_047,CPU_ATT,20,0.105263,1.495845,0.200000,4,42
cpu_att_048,CPU_ATT,20,0.089474,2.088643,0.200000,4,42
cpu_att_049,CPU_ATT,20,0.084211,1.562327,0.177778,4,42
cpu_att_050,CPU_ATT,20,0.100000,1.495845,0.177778,4,42
cpu_att_051,CPU_ATT,20,0.094737,1.501385,0.200000,4,42
cpu_att_052,CPU_ATT,20,0.121053,3.983380,0.333333,4,42
cpu_att_053,CPU_ATT,20,0.126316,3.479224,0.355556,4,42
cpu_att_054,CPU_ATT,20,0.136842,5.523546,0.311111,4,42
cpu_att_055,CPU_ATT,20,0.115789,4.132964,0.311111,4,42
cpu_att_056,CPU_ATT,20,0.100000,2.565097,0.200000,4,42
cpu_att_057,CPU_ATT,20,0.121053,4.193906,0.311111,4,42
cpu_att_058,CPU_ATT,20,0.105263,1.396122,0.200000,4,42
cpu_att_059,CPU_ATT,20,0.131579,3.983380,0.333333,4,42
cpu_att_060,CPU_ATT,20,0.126316,4.470914,0.311111,4,42
cpu_att_061,CPU_ATT,20,0.121053,3.734072,0.311111,4,42
cpu_att_062,CPU_ATT,20,0.105263,1.983380,0.222222,4,42
cpu_att_063,CPU_ATT,20,0.089474,2.166205,0.200000,4,42
cpu_att_064,CPU_ATT,20,0.105263,2.216066,0.177778,4,42
cpu_att_065,CPU_ATT,20,0.105263,2.127424,0.200000,4,42
cpu_att_066,CPU_ATT,20,0.115789,2.720222,0.200000,4,42
cpu_att_067,CPU_ATT,20,0.100000,2.759003,0.200000,4,42
cpu_att_068,CPU_ATT,20,0.121053,3.983380,0.333333,4,42
cpu_att_069,CPU_ATT,20,0.126316,3.988920,0.311111,4,42
cpu_att_070,CPU_ATT,20,0.089474,1.185596,0.177778,4,42
cpu_att_071,CPU_ATT,20,0.110526,2.969529,0.200000,4,42
cpu_att_072,CPU_ATT,20,0.136842,4.526316,0.333333,4,42
cpu_att_073,CPU_ATT,20,0.110526,3.268698,0.244444,4,42
cpu_att_074,CPU_ATT,20,0.094737,2.426593,0.200000,4,42
cpu_att_075,CPU_ATT,20,0.121053,3.983380,0.333333,4,42
cpu_att_076,CPU_ATT,20,0.094737,2.426593,0.200000,4,42
cpu_att_077,CPU_ATT,20,0.094737,1.878116,0.177778,4,42
cpu_att_078,CPU_ATT,20,0.094737,2.426593,0.200000,4,42
cpu_att_079,CPU_ATT,20,0.084211,1.418283,0.177778,4,42
cpu_att_080,CPU_ATT,20,0.131579,3.983380,0.333333,4,42
cpu_att_081,CPU_ATT,20,0.131579,4.825485,0.288889,4,42
cpu_att_082,CPU_ATT,20,0.115789,4.132964,0.311111,4,42
cpu_att_083,CPU_ATT,20,0.089474,1.795014,0.177778,4,42
cpu_att_084,CPU_ATT,20,0.152632,4.864266,0.288889,4,42
cpu_att_085,CPU_ATT,20,0.084211,1.955679,0.155556,4,42
cpu_att_086,CPU_ATT,20,0.115789,2.891967,0.222222,4,42
cpu_att_087,CPU_ATT,20,0.073684,2.005540,0.133333,4,42
cpu_att_088,CPU_ATT,20,0.094737,2.531856,0.200000,4,42
cpu_att_089,CPU_ATT,20,0.089474,1.617729,0.177778,4,42
cpu_att_090,CPU_ATT,20,0.078947,1.567867,0.177778,4,42
cpu_att_091,CPU_ATT,20,0.094737,2.005540,0.177778,4,42
cpu_att_092,CPU_ATT,20,0.126316,3.795014,0.311111,4,42
cpu_att_093,CPU_ATT,20,0.089474,2.132964,0.222222,4,42
